Title,Company,Location,Date,URL
Digital Producer Internship - Summer 2019,"Star Tribune Media Company, LLC.","Minneapolis, MN",30+ days ago,https://www.indeed.com/viewjob?jk=b395928118db4291
Assistant Professor in Computer and Information Science (CIS) - Data Science F19,University of Michigan - Dearborn,"Dearborn, Michigan",Today,https://careers.journalists.org/jobs/11625639/assistant-professor-in-computer-and-information-science-cis-data-science-f19
Assistant Professor in Computer and Information Science (CIS) - Data Management F19,University of Michigan - Dearborn,"Dearborn, Michigan",Today,https://careers.journalists.org/jobs/11625641/assistant-professor-in-computer-and-information-science-cis-data-management-f19
Content & News Writer - Asset Management,Morgan McKinley,"London, United Kingdom",Today,https://careers.journalists.org/jobs/11622779/content-news-writer-asset-management
Digital Content Creator,Harvard University Graduate School of Education,USA - MA - Cambridge,Today,https://careers.journalists.org/jobs/11622536/digital-content-creator
Assistant Professor in Computer and Information Science (CIS) - F19,University of Michigan - Dearborn,"Dearborn, Michigan",Today,https://careers.journalists.org/jobs/11625640/assistant-professor-in-computer-and-information-science-cis-f19
Assistant Professor in Computer and Information Science (CIS) - Software Engineering F19,University of Michigan - Dearborn,"Dearborn, Michigan",Today,https://careers.journalists.org/jobs/11625642/assistant-professor-in-computer-and-information-science-cis-software-engineering-f19
Senior Site Reliability Engineer - DevOps,CBRE,"Memphis,",Today,https://careers.journalists.org/jobs/11624494/senior-site-reliability-engineer-devops
Principal Software Engineer (Backend),CBRE,"Memphis,",Today,https://careers.journalists.org/jobs/11624535/principal-software-engineer-backend
SPEC-DIGITAL MARKETING FULL TIME SCOTTSDALE,HonorHealth,"Scottsdale, Arizona",Today,https://careers.journalists.org/jobs/11624369/spec-digital-marketing-full-time-scottsdale
"Director, Marketing & Communications",Association of Chamber of Commerce Executives,"Alexandria, Virginia",Today,https://careers.journalists.org/jobs/11626054/director-marketing-communications
Associate Sports Information Director & Athletic Social Media Coordinator,Marist College,"Poughkeepsie, New York",1 Week Ago,https://careers.journalists.org/jobs/11589589/associate-sports-information-director-athletic-social-media-coordinator
Associate Sports Information Director & Athletic Social Media Coordinator,Marist College,"Poughkeepsie, New York",4 Days Ago,https://careers.journalists.org/jobs/11589598/associate-sports-information-director-athletic-social-media-coordinator
Director of Public Relations and Communications,HCA/Memorial Hospital Jacksonville,"Jacksonville, Florida",Yesterday,https://careers.journalists.org/jobs/11621811/director-of-public-relations-and-communications
Associate Director of Communications,Ohio University,"Athens, Ohio",2 Weeks Ago,https://careers.journalists.org/jobs/11571306/associate-director-of-communications
"4-H Program Educator - Watertown, NY",Cornell University,"H Program Educator, New York",4 Weeks Ago,https://careers.journalists.org/jobs/11523664/4-h-program-educator-watertown-ny
"CCE of Schenectady County Healthy Schenectady Families Family Support Educators Full Time – Schenectady, NY",Cornell University,"New York State, New York",2 Weeks Ago,https://careers.journalists.org/jobs/11556829/cce-of-schenectady-county-healthy-schenectady-families-family-support-educators-full-time-8211-schenectady-ny
"4-H After-School Program Educator - WHS Empire State - Watertown, NY",Cornell University,"H After, New York",4 Months Ago,https://careers.journalists.org/jobs/11186625/4-h-after-school-program-educator-whs-empire-state-watertown-ny
"4-H After-School Educator - Indian River Intermediate School - DoDEA - Watertown, NY",Cornell University,"H After, New York",4 Months Ago,https://careers.journalists.org/jobs/11186634/4-h-after-school-educator-indian-river-intermediate-school-dodea-watertown-ny
"4-H After-School Educator - Antwerp Primary School - 21st CCLC - Watertown, NY",Cornell University,"H After, New York",1 Month Ago,https://careers.journalists.org/jobs/11499779/4-h-after-school-educator-antwerp-primary-school-21st-cclc-watertown-ny
Assistant Professor - Communication Studies,University of Wisconsin-La Crosse,"La Crosse, Wisconsin",3 Weeks Ago,https://careers.journalists.org/jobs/11537956/assistant-professor-communication-studies
Digital Marketing Manager,Donald Danforth Plant Science Center,"St. Louis, Missouri",4 Weeks Ago,https://careers.journalists.org/jobs/11527483/digital-marketing-manager
Educational Programs Specialist,Western Washington University,WA,6 Days Ago,https://careers.journalists.org/jobs/11603207/educational-programs-specialist
Assistant Director of Talent Acquisition - Business School-MBA Programs - 41849,Washington University in St. Louis,"St. Louis, Missouri",2 Weeks Ago,https://careers.journalists.org/jobs/11571438/assistant-director-of-talent-acquisition-business-school-mba-programs-41849
Director Diversity Education,Rochester Institute of Technology,"Rochester, New York",6 Days Ago,https://careers.journalists.org/jobs/11606040/director-diversity-education
Assistant Professor of Practice: Sports Media,"University of Nebraska-Lincoln, College of Journalism","Lincoln, Nebraska",4 Weeks Ago,https://careers.journalists.org/jobs/11522989/assistant-professor-of-practice-sports-media
